2026/06/13 01:05:58.283054 main.go:27: 🛸 无人机仿真系统启动中... mode=simulation
2026/06/13 01:05:58.353532 main.go:51: 📋 加载场景: 百万级压力测试 → 10000 架 STRESS
2026/06/13 01:05:58.967782 main.go:62: ✅ 共创建 10000 架仿真无人机
2026/06/13 01:05:58.987172 client.go:59: [MQTT] 已连接至 tcp://127.0.0.1:1883
2026/06/13 01:06:09.008548 main.go:170: 📊 [状态] 总数:10000 飞行:0 违规:6925 | MQTT发送:10000 错误:0
2026/06/13 01:06:18.987593 main.go:170: 📊 [状态] 总数:10000 飞行:0 违规:6925 | MQTT发送:10000 错误:0
2026/06/13 01:06:28.987672 main.go:170: 📊 [状态] 总数:10000 飞行:0 违规:4813 | MQTT发送:15963 错误:0
2026/06/13 01:06:38.988019 main.go:170: 📊 [状态] 总数:10000 飞行:0 违规:4813 | MQTT发送:20000 错误:0
2026/06/13 01:06:48.987173 main.go:170: 📊 [状态] 总数:10000 飞行:0 违规:4813 | MQTT发送:20000 错误:0
2026/06/13 01:06:58.987392 main.go:170: 📊 [状态] 总数:10000 飞行:3075 违规:3443 | MQTT发送:20000 错误:0
2026/06/13 01:07:08.987596 main.go:170: 📊 [状态] 总数:10000 飞行:3075 违规:3443 | MQTT发送:30000 错误:0
2026/06/13 01:07:18.987741 main.go:170: 📊 [状态] 总数:10000 飞行:5187 违规:2417 | MQTT发送:30000 错误:0
2026/06/13 01:07:28.987302 main.go:170: 📊 [状态] 总数:10000 飞行:6569 违规:1714 | MQTT发送:50000 错误:0
2026/06/13 01:07:38.987363 main.go:170: 📊 [状态] 总数:10000 飞行:6569 违规:1714 | MQTT发送:50000 错误:0
2026/06/13 01:07:48.987674 main.go:170: 📊 [状态] 总数:10000 飞行:7604 违规:1240 | MQTT发送:60000 错误:0
2026/06/13 01:07:58.987350 main.go:170: 📊 [状态] 总数:10000 飞行:8342 违规:910 | MQTT发送:60000 错误:0
2026/06/13 01:08:08.987643 main.go:170: 📊 [状态] 总数:10000 飞行:8342 违规:910 | MQTT发送:60000 错误:0
2026/06/13 01:08:18.987243 main.go:170: 📊 [状态] 总数:10000 飞行:8843 违规:713 | MQTT发送:70000 错误:0
2026/06/13 01:08:28.987347 main.go:170: 📊 [状态] 总数:10000 飞行:9204 违规:588 | MQTT发送:80000 错误:0
2026/06/13 01:08:38.987231 main.go:170: 📊 [状态] 总数:10000 飞行:9433 违规:500 | MQTT发送:100000 错误:0
2026/06/13 01:08:48.987626 main.go:170: 📊 [状态] 总数:10000 飞行:9597 违规:464 | MQTT发送:100000 错误:0
2026/06/13 01:08:58.987531 main.go:170: 📊 [状态] 总数:10000 飞行:9597 违规:464 | MQTT发送:100000 错误:0
2026/06/13 01:09:08.987557 main.go:170: 📊 [状态] 总数:10000 飞行:9597 违规:464 | MQTT发送:110000 错误:0
